,inflation
0,"[0.09298151220157742, 0.971]"
1,"[0.08112181817386299, 0.9755]"
2,"[0.08206274677477778, 0.9747]"
3,"[0.08787164366282522, 0.9727]"
4,"[0.08850849491823465, 0.9721]"
5,"[0.08556796299610286, 0.9716]"
6,"[0.11646885500699282, 0.9639]"
7,"[0.0792162670198828, 0.9751]"
8,"[0.09012608430758119, 0.9724]"
9,"[0.08559230242520571, 0.9722]"
10,"[0.1030013959106058, 0.9698]"
11,"[0.07436751577295363, 0.9781]"
12,"[0.07752883748281747, 0.9752]"
13,"[0.08434202301576733, 0.9745]"
14,"[0.07010938972048461, 0.9783]"
15,"[0.0748619949363172, 0.9773]"
16,"[0.08792066231388598, 0.9709]"
17,"[0.09218187002968044, 0.9717]"
18,"[0.08301876340731978, 0.973]"
19,"[0.09642601178456098, 0.9703]"
20,"[0.09422997463885695, 0.9692]"
21,"[0.07482794090081006, 0.9774]"
22,"[0.07468554302658886, 0.9753]"
23,"[0.09262141219489277, 0.9719]"
24,"[0.07387766366899014, 0.9768]"
25,"[0.08601245270892978, 0.9736]"
26,"[0.07679307228047401, 0.9757]"
27,"[0.08909763373229652, 0.9739]"
28,"[0.08403894146420061, 0.9737]"
29,"[0.08236301110200583, 0.9741]"
30,"[0.0814569099061191, 0.9748]"
31,"[0.07763885130416602, 0.9757]"
32,"[0.09016168011184782, 0.9721]"
33,"[0.07183921468872577, 0.9789]"
34,"[0.07945375108821318, 0.9756]"
35,"[0.08119857511930167, 0.974]"
36,"[0.09719632546454668, 0.9704]"
37,"[0.0875680222593248, 0.9727]"
38,"[0.07806540402211248, 0.9753]"
39,"[0.08213000473175198, 0.9745]"
40,"[0.09556160429529846, 0.9674]"
41,"[0.08817534491084517, 0.9721]"
42,"[0.08085452851708978, 0.9732]"
43,"[0.08123302966840565, 0.9748]"
44,"[0.07798360265363008, 0.9769]"
45,"[0.07344083585105836, 0.9768]"
46,"[0.07609986992347985, 0.9769]"
47,"[0.0749095917649567, 0.9783]"
48,"[0.08666364809162914, 0.9729]"
49,"[0.09109125466886908, 0.9715]"
50,"[0.09454916967861354, 0.9713]"
51,"[0.08233050747457892, 0.9745]"
52,"[0.07849264523927123, 0.9748]"
53,"[0.08221981760691852, 0.9745]"
54,"[0.07903878316301853, 0.9762]"
55,"[0.078863248690404, 0.9756]"
56,"[0.07781835606899112, 0.9763]"
57,"[0.07942983531635255, 0.9753]"
58,"[0.08363187723495066, 0.9734]"
59,"[0.07825862945877016, 0.9756]"
60,"[0.08002737542819231, 0.9744]"
61,"[0.0796341284725815, 0.9747]"
62,"[0.0875581487307325, 0.9726]"
63,"[0.07585261253155767, 0.9767]"
64,"[0.0820522628478706, 0.9736]"
65,"[0.09065388970114291, 0.9724]"
66,"[0.07943120456729084, 0.9745]"
67,"[0.07870045346319675, 0.975]"
68,"[0.08073823038544506, 0.974]"
69,"[0.0792209039626643, 0.9757]"
70,"[0.08156990844327956, 0.9751]"
71,"[0.08335145481154323, 0.9746]"
72,"[0.08231439929492772, 0.9755]"
73,"[0.07136032486129552, 0.9772]"
74,"[0.07918154700212181, 0.975]"
75,"[0.08222778233848513, 0.974]"
76,"[0.08402349599264562, 0.9736]"
77,"[0.09277256443109363, 0.9703]"
78,"[0.0776396898444742, 0.9754]"
79,"[0.0826208338227123, 0.9743]"
80,"[0.10349518098942935, 0.9685]"
81,"[0.0796768217595294, 0.9761]"
82,"[0.07755970038231462, 0.9759]"
83,"[0.08942406393084674, 0.9716]"
84,"[0.07811234427597374, 0.9751]"
85,"[0.08537649196647108, 0.9723]"
86,"[0.08253633572105318, 0.9746]"
87,"[0.08485661814659834, 0.9735]"
88,"[0.08547588471416384, 0.9733]"
89,"[0.08017800141684711, 0.9754]"
90,"[0.08271771598588676, 0.9745]"
91,"[0.0762321521250531, 0.9761]"
92,"[0.07597572324257344, 0.9765]"
93,"[0.08568188783247024, 0.9732]"
94,"[0.08361273626182228, 0.9724]"
95,"[0.0768459769109264, 0.977]"
96,"[0.0793632876817137, 0.9748]"
97,"[0.07676436482071876, 0.9754]"
98,"[0.08476876199357211, 0.9745]"
99,"[0.07245650785155594, 0.9774]"
100,"[0.07762801910229027, 0.9752]"
101,"[0.07686086357105523, 0.9751]"
102,"[0.07835603171661497, 0.9747]"
103,"[0.08151875623743982, 0.9743]"
104,"[0.07952962750587612, 0.9753]"
105,"[0.08722531719654798, 0.9715]"
106,"[0.0932136794321239, 0.9706]"
107,"[0.08831809744648636, 0.9726]"
108,"[0.07809136008173227, 0.9754]"
109,"[0.07748378594815732, 0.9752]"
110,"[0.08111746416073293, 0.9749]"
111,"[0.07720953049175441, 0.976]"
112,"[0.07761055887555704, 0.9743]"
113,"[0.08299283924866467, 0.9726]"
