,al
153,"[0.07360550341624766, 0.9769]"
154,"[0.07854143054783344, 0.9758]"
155,"[0.07452390322145075, 0.9769]"
156,"[0.07435324883460999, 0.9764]"
157,"[0.09982560589984059, 0.9701]"
158,"[0.0743390943640843, 0.9764]"
159,"[0.09685031600892544, 0.9705]"
160,"[0.07350170957371592, 0.9769]"
161,"[0.073857182264328, 0.9768]"
162,"[0.07576778759472072, 0.9761]"
163,"[0.10627321478053928, 0.9682]"
164,"[0.07529142195414752, 0.9764]"
165,"[0.07350423986483365, 0.9768]"
166,"[0.07430315981656313, 0.9767]"
167,"[0.07587848904579877, 0.9761]"
168,"[0.0736368929469958, 0.9771]"
169,"[0.07540135345440357, 0.9765]"
170,"[0.09915031722895801, 0.97]"
171,"[0.10624178415164351, 0.9681]"
172,"[0.07426876492127776, 0.9765]"
173,"[0.07518359116595238, 0.977]"
174,"[0.07394255387801676, 0.9766]"
175,"[0.07367038991581648, 0.9768]"
176,"[0.07621063589360565, 0.9764]"
177,"[0.0742503593267873, 0.9764]"
178,"[0.07384332728870213, 0.9766]"
179,"[0.07367102574780583, 0.977]"
180,"[0.09278320693764835, 0.9711]"
181,"[0.0734229083776474, 0.9773]"
182,"[0.07329581874813884, 0.9769]"
183,"[0.07438840963691473, 0.9768]"
184,"[0.07315320255383849, 0.9774]"
185,"[0.07416293820347637, 0.9766]"
186,"[0.07363157855421305, 0.9767]"
187,"[0.10124064129106701, 0.9696]"
188,"[0.08223437569774687, 0.9744]"
189,"[0.10096834276579321, 0.9696]"
190,"[0.07815287081431598, 0.9758]"
191,"[0.07373652512133122, 0.977]"
192,"[0.09836568881161512, 0.9706]"
193,"[0.07336581279356033, 0.9772]"
194,"[0.07389876103661955, 0.9766]"
195,"[0.0737600245345384, 0.9769]"
196,"[0.07365847371965646, 0.9774]"
197,"[0.07556353643573821, 0.9762]"
198,"[0.0737013095125556, 0.9768]"
199,"[0.07418970052972436, 0.977]"
200,"[0.07402940652929246, 0.9764]"
201,"[0.10036079365536571, 0.9702]"
202,"[0.07379032222777605, 0.9768]"
203,"[0.07434068498220295, 0.9765]"
204,"[0.07385593847036362, 0.9766]"
205,"[0.1052989505212754, 0.9683]"
206,"[0.10319496281854808, 0.9693]"
207,"[0.07454954576939345, 0.9769]"
208,"[0.07304821754135192, 0.9771]"
209,"[0.07402719665002078, 0.977]"
210,"[0.07455423326995224, 0.9764]"
211,"[0.10430616140663623, 0.9687]"
212,"[0.07354162888322026, 0.9768]"
213,"[0.0772824626950547, 0.9763]"
214,"[0.07476241997368634, 0.9767]"
215,"[0.07453291265070439, 0.9763]"
216,"[0.07394459836054593, 0.9767]"
217,"[0.0745309549080208, 0.9764]"
218,"[0.07619299251623451, 0.9764]"
219,"[0.07502166884019972, 0.9768]"
